fish,microhabitat,year,location,recruits,ci
surgeonfish,mounding corals,2009,Rarotonga,0,0
surgeonfish,coarse-branching corals,2009,Rarotonga,0,0
surgeonfish,fine-branching corals,2009,Rarotonga,19.5,10
surgeonfish,sea anemones,2009,Rarotonga,0,0
surgeonfish,algae,2009,Rarotonga,0,0
surgeonfish,mounding corals,2009,Aitutaki,0,0
surgeonfish,coarse-branching corals,2009,Aitutaki,0,0
surgeonfish,fine-branching corals,2009,Aitutaki,27,10
surgeonfish,sea anemones,2009,Aitutaki,0,0
surgeonfish,algae,2009,Aitutaki,0,0
coral trout,mounding corals,2009,Rarotonga,0,0
coral trout,coarse-branching corals,2009,Rarotonga,10.5,2.5
coral trout,fine-branching corals,2009,Rarotonga,0,0
coral trout,sea anemones,2009,Rarotonga,0,0
coral trout,algae,2009,Rarotonga,0,0
coral trout,mounding corals,2009,Aitutaki,0,0
coral trout,coarse-branching corals,2009,Aitutaki,10.5,2.5
coral trout,fine-branching corals,2009,Aitutaki,0,0
coral trout,sea anemones,2009,Aitutaki,0,0
coral trout,algae,2009,Aitutaki,0,0
spotted damsel,mounding corals,2009,Rarotonga,0,0
spotted damsel,coarse-branching corals,2009,Rarotonga,0,0
spotted damsel,fine-branching corals,2009,Rarotonga,0,0
spotted damsel,sea anemones,2009,Rarotonga,15,5
spotted damsel,algae,2009,Rarotonga,0,0
spotted damsel,mounding corals,2009,Aitutaki,0,0
spotted damsel,coarse-branching corals,2009,Aitutaki,0,0
spotted damsel,fine-branching corals,2009,Aitutaki,0,0
spotted damsel,sea anemones,2009,Aitutaki,10,5
spotted damsel,algae,2009,Aitutaki,0,0
yellow damsel,mounding corals,2009,Rarotonga,23.1,4
yellow damsel,coarse-branching corals,2009,Rarotonga,0,0
yellow damsel,fine-branching corals,2009,Rarotonga,0,0
yellow damsel,sea anemones,2009,Rarotonga,0,0
yellow damsel,algae,2009,Rarotonga,0,0
yellow damsel,mounding corals,2009,Aitutaki,11,4
yellow damsel,coarse-branching corals,2009,Aitutaki,0,0
yellow damsel,fine-branching corals,2009,Aitutaki,0,0
yellow damsel,sea anemones,2009,Aitutaki,0,0
yellow damsel,algae,2009,Aitutaki,0,0
surgeonfish,mounding corals,2018,Rarotonga,0,0
surgeonfish,coarse-branching corals,2018,Rarotonga,0,0
surgeonfish,fine-branching corals,2018,Rarotonga,33,10
surgeonfish,sea anemones,2018,Rarotonga,0,0
surgeonfish,algae,2018,Rarotonga,0,0
surgeonfish,mounding corals,2018,Aitutaki,0,0
surgeonfish,coarse-branching corals,2018,Aitutaki,0,0
surgeonfish,fine-branching corals,2018,Aitutaki,25.5,10
surgeonfish,sea anemones,2018,Aitutaki,0,0
surgeonfish,algae,2018,Aitutaki,0,0
coral trout,mounding corals,2018,Rarotonga,0,0
coral trout,coarse-branching corals,2018,Rarotonga,1.5,2.5
coral trout,fine-branching corals,2018,Rarotonga,0,0
coral trout,sea anemones,2018,Rarotonga,0,0
coral trout,algae,2018,Rarotonga,0,0
coral trout,mounding corals,2018,Aitutaki,0,0
coral trout,coarse-branching corals,2018,Aitutaki,7.5,2.5
coral trout,fine-branching corals,2018,Aitutaki,0,0
coral trout,sea anemones,2018,Aitutaki,0,0
coral trout,algae,2018,Aitutaki,0,0
spotted damsel,mounding corals,2018,Rarotonga,0,0
spotted damsel,coarse-branching corals,2018,Rarotonga,0,0
spotted damsel,fine-branching corals,2018,Rarotonga,0,0
spotted damsel,sea anemones,2018,Rarotonga,10,5
spotted damsel,algae,2018,Rarotonga,0,0
spotted damsel,mounding corals,2018,Aitutaki,0,0
spotted damsel,coarse-branching corals,2018,Aitutaki,0,0
spotted damsel,fine-branching corals,2018,Aitutaki,0,0
spotted damsel,sea anemones,2018,Aitutaki,8.75,5
spotted damsel,algae,2018,Aitutaki,0,0
yellow damsel,mounding corals,2018,Rarotonga,47.3,4
yellow damsel,coarse-branching corals,2018,Rarotonga,0,0
yellow damsel,fine-branching corals,2018,Rarotonga,0,0
yellow damsel,sea anemones,2018,Rarotonga,0,0
yellow damsel,algae,2018,Rarotonga,0,0
yellow damsel,mounding corals,2018,Aitutaki,20.9,4
yellow damsel,coarse-branching corals,2018,Aitutaki,0,0
yellow damsel,fine-branching corals,2018,Aitutaki,0,0
yellow damsel,sea anemones,2018,Aitutaki,0,0
yellow damsel,algae,2018,Aitutaki,0,0